Model Year;Make;Engine Size(L);Cylinders;Fuel Type;Fuel Consumption(Comb (L/100 km));CO2 Emissions(g/km);CO2 Rating;Smog Rating
2022;Acura;2.4;4;Z;8.6;200;6;3
2022;Acura;3.5;6;Z;11.2;263;4;5
2022;Acura;2;4;Z;9.9;232;5;6
2022;Acura;2;4;Z;10.3;242;5;6
2022;Acura;2;4;Z;9.8;230;5;7
2022;Acura;2;4;Z;9.8;231;5;7
2022;Acura;3;6;Z;11;256;5;5
2022;Acura;3;6;Z;11.2;261;4;5
2022;Alfa Romeo;2;4;Z;8.7;205;6;3
2022;Alfa Romeo;2;4;Z;9.2;217;5;3
2022;Alfa Romeo;2.9;6;Z;11.6;271;4;3
2022;Alfa Romeo;2;4;Z;9.3;218;5;3
2022;Alfa Romeo;2;4;Z;9.6;226;5;3
2022;Alfa Romeo;2.9;6;Z;12.3;288;4;3
2022;Aston Martin;4;8;Z;11.5;271;4;5
2022;Aston Martin;5.2;12;Z;13.8;324;3;3
2022;Aston Martin;5.2;12;Z;13.8;324;3;3
2022;Aston Martin;4;8;Z;14.6;343;3;5
2022;Aston Martin;4;8;Z;11.5;270;4;5
2022;Audi;2;4;X;7.6;178;7;7
2022;Audi;2;4;Z;8.2;190;6;5
2022;Audi;2;4;Z;8.8;205;6;5
2022;Audi;2;4;Z;8.9;208;6;5
2022;Audi;2;4;Z;9.1;214;5;5
2022;Audi;2;4;Z;8.8;205;6;5
2022;Audi;2;4;Z;8.8;205;6;5
2022;Audi;2;4;Z;8.9;208;6;5
2022;Audi;3;6;Z;9.6;224;5;5
2022;Audi;3;6;Z;10;234;5;5
2022;Audi;3;6;Z;9.6;224;5;5
2022;Audi;3;6;Z;10.6;248;5;5
2022;Audi;2;4;X;9.2;215;5;7
2022;Audi;2;4;X;10;233;5;7
2022;Audi;2;4;Z;9.3;217;5;5
2022;Audi;2;4;Z;9.4;220;5;5
2022;Audi;2;4;Z;9.4;220;5;5
2022;Audi;2;4;Z;10.8;252;5;3
2022;Audi;3;6;Z;11.7;273;4;5
2022;Audi;3;6;Z;11.7;273;4;5
2022;Audi;5.2;10;Z;13.8;322;3;1
2022;Audi;5.2;10;Z;15.3;356;3;1
2022;Audi;5.2;10;Z;13.8;322;3;1
2022;Audi;5.2;10;Z;15.3;356;3;1
2022;Audi;2.9;6;Z;11.4;267;4;5
2022;Audi;2.9;6;Z;11.4;268;4;5
2022;Audi;4;8;Z;13.7;319;3;3
2022;Audi;4;8;Z;13.5;315;3;3
2022;Audi;4;8;Z;15.4;360;2;3
2022;Audi;2;4;Z;8.8;206;6;5
2022;Audi;3;6;Z;9.7;227;5;5
2022;Audi;3;6;Z;10;233;5;5
2022;Audi;3;6;Z;9.7;227;5;5
2022;Audi;3;6;Z;9.7;227;5;5
2022;Audi;2.9;6;Z;10.9;254;5;5
2022;Audi;2.9;6;Z;10.9;254;5;5
2022;Audi;4;8;Z;13.8;323;3;3
2022;Audi;3;6;Z;11.2;262;4;5
2022;Audi;3;6;Z;11.2;262;4;5
2022;Audi;4;8;Z;13.9;325;3;3
2022;Audi;4;8;Z;13.9;325;3;3
2022;Audi;2;4;X;9.4;218;5;7
2022;Audi;2;4;X;9.4;218;5;7
2022;Audi;2.5;5;Z;10.1;235;5;3
2022;Audi;2;4;Z;9;209;5;3
2022;Bentley;4;8;Z;13.2;309;3;3
2022;Bentley;6;12;Z;16.3;383;2;3
2022;Bentley;4;8;Z;12.2;287;4;3
2022;Bentley;6;12;Z;16.2;379;2;3
2022;Bentley;4;8;Z;12.5;294;4;3
2022;Bentley;6;12;Z;17;395;2;3
2022;Bentley;4;8;Z;13.7;323;3;3
2022;Bentley;6;12;Z;16;373;2;3
2022;BMW;2;4;Z;8.3;195;6;7
2022;BMW;2;4;Z;8.7;202;6;7
2022;BMW;2;4;Z;8.7;202;6;7
2022;BMW;2;4;Z;8.9;206;6;7
2022;BMW;3;6;Z;9.4;219;5;5
2022;BMW;4.4;8;Z;12;279;4;3
2022;BMW;4.4;8;Z;12;279;4;3
2022;BMW;4.4;8;Z;12;279;4;3
2022;BMW;4.4;8;Z;12;279;4;3
2022;BMW;4.4;8;Z;13.8;321;3;3
2022;BMW;2;4;Z;9.2;214;5;3
2022;BMW;3;6;Z;9.1;212;5;5
2022;BMW;3;6;Z;12.6;293;4;5
2022;BMW;3;6;Z;12.6;292;4;5
2022;BMW;3;6;Z;12.7;296;4;5
2022;BMW;3;6;Z;9.2;214;5;5
2022;BMW;3;6;Z;12.9;301;3;5
2022;BMW;3;6;Z;12.6;293;4;5
2022;BMW;3;6;Z;12.6;292;4;5
2022;BMW;3;6;Z;12.7;296;4;5
2022;BMW;3;6;Z;9.1;211;5;5
2022;BMW;3;6;Z;9.2;214;5;5
2022;BMW;3;6;Z;9.6;224;5;5
2022;BMW;4.4;8;Z;13.8;322;3;3
2022;BMW;4.4;8;Z;13.8;322;3;3
2022;BMW;4.4;8;Z;13.8;322;3;3
2022;BMW;4.4;8;Z;11.6;271;4;3
2022;BMW;6.6;12;Z;15.1;354;3;3
2022;BMW;4.4;8;Z;13.8;322;3;3
2022;BMW;4.4;8;Z;13.8;322;3;3
2022;BMW;4.4;8;Z;13.8;322;3;3
2022;BMW;4.4;8;Z;13.8;322;3;3
2022;BMW;4.4;8;Z;13.8;322;3;3
2022;BMW;4.4;8;Z;13.8;322;3;3
2022;BMW;4.4;8;Z;12;279;4;3
2022;BMW;4.4;8;Z;11.6;271;4;3
2022;BMW;4.4;8;Z;12;279;4;3
2022;BMW;2;4;Z;9.1;213;5;7
2022;BMW;2;4;Z;8.8;207;6;7
2022;BMW;2;4;Z;8.9;207;6;3
2022;BMW;2;4;Z;9.9;230;5;7
2022;BMW;3;6;Z;13.9;323;3;3
2022;BMW;3;6;Z;13.9;323;3;3
2022;BMW;3;6;Z;10.3;241;5;5
2022;BMW;2;4;Z;9.9;230;5;7
2022;BMW;3;6;Z;13.9;323;3;3
2022;BMW;3;6;Z;13.9;323;3;3
2022;BMW;3;6;Z;10.3;241;5;5
2022;BMW;3;6;Z;10.4;241;5;3
2022;BMW;4.4;8;Z;15.7;364;2;3
2022;BMW;4.4;8;Z;15.7;364;2;3
